Site,provide_metadata,provide_descriptive_metadata,provide_data_license_information,provide_data_provenance_information,provide_data_quality_information,provide_a_version_indicator,provide_version_history,gather_feedback_from_data_consumers,make_feedback_available,provide_bulk_download,provide_data_up_to_date,use_persistent_URIs_as_identifiers_of_datasets,use_machine_readable_standardized_data_formats,provide_data_in_multiple_formats,assess_dataset_coverage,provide_feedback_to_the_original_publisher,cite_the_original_publication
https://ead.ifpr.edu.br/?p=10779,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?p=10797,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://ead.ifpr.edu.br/?p=10805,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?p=10819,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?p=10828,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?p=10958,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?p=10960,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?p=10962,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?p=10999,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?p=11034,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?p=11041,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?p=11055,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?p=11058,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?p=11066,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
https://ead.ifpr.edu.br/?p=11076,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://ead.ifpr.edu.br/?p=11108,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://ead.ifpr.edu.br/?page_id=10724,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
https://ead.ifpr.edu.br/?page_id=1333,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=1411,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=2417,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=3171,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=3943,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=4001,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=4003,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
https://ead.ifpr.edu.br/?page_id=4007,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=4011,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=4087,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=4595,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=5257,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=5888,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0
https://ead.ifpr.edu.br/?page_id=5902,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0
